banda,tag,value
Biliu de Campina,pé-de-serra,10
Jairo Madruga,pé-de-serra,10
Jorge de Altinho,pé-de-serra,10
Os Três do Nordeste,pé-de-serra,10
Luan e Forró Estilizado,pé-de-serra,4
Luan e Forró Estilizado,eletrônico,10
Luan e Forró Estilizado,forronejo,4
Ton Oliveira,pé-de-serra,10
Ton Oliveira,pé-de-serra debochado,7
Flávio José,pé-de-serra,10
Forró da Curtição,eletrônico,10
Forró da Curtição,forronejo,5
Forró Instigação,eletrônico,10
Eloisa Olinto,mpb,10
Forró da Galera,eletrônico,10
Forrozão Karkará,eletrônico,10
Ramon Schinayder,eletrônico,10
Ramon Schinayder,forronejo,8
Os 3 do nordeste,pé-de-serra,10
Coronel Grilo,pé-de-serra,10
João Marcelo e Juliano,sertanejo,10
Magníficos,das antigas,10
Magníficos,romântico,6
Dorgival Dantas,romântico,10
Bonde do Brasil,sofrência,10
Bonde do Brasil,arrocha,8
Forró do Imperador,eletrônico,10
Forró do Imperador,forronejo,6
Aviões do Forró,eletrônico,10
Aviões do Forró,forronejo,5
Capilé,pé-de-serra,5
Capilé,eletrônico,5
Gabriel Diniz,eletrônico,10
Gabriel Diniz,forronejo,8
Felipe Lemos,eletrônico,10
Felipe Lemos,forronejo,6
Banda Encantus,das antigas,10
Banda Encantus,romântico,8
Poeta Francinaldo,pé-de-serra,10
Banda Palov,das antigas,10
Assisão,pé-de-serra,10
Janine e Banda,pé-de-serra,10
Galã do Brega,eletrônico,10
Galã do Brega,forronejo,8
Forró Bakana,eletrônico,10
Forró do Bom,sofrência,10
Forró do Bom,arrocha,7
Forró do Bom,eletrônico,8
Raniere Gomes,pé-de-serra,7
Afrodite,das antigas,10
Afrodite,romântico,7
Amazan,pé-de-serra,10
Amazan,pé-de-serra debochado,7
Nando Cordel,pé-de-serra,10
Alceu Valença,mpb,10
Pinto do Acordeon,pé-de-serra,10
Genival Lacerda,pé-de-serra,10
Eliane,romântico,10
Eliane,das antigas,7
Saia Justa,"
eletrônico",10
Forró da Barka,"
eletrônico",10
Maciel Melo,pé-de-serra,10
Maciel Melo,romântico,8
Joverlaine e Mania de Sertanejo,forronejo,10
Cavalo de Pau,das antigas,10
Cavalo de Pau,romântico ,5
Garota Safada,eletrônico,10
Garota Safada,forronejo ,5
Lucy Alves,pé-de-serra,10
Os Nonatos,romântico ,7
Os Nonatos,sertanejo raiz,7
Waldonys,pé-de-serra,10
Saia Rodada,eletrônico,10
Padre Fábio de Melo,religioso,10
Desejo de Menina,romântico ,10
Coroné Grilo,pé-de-serra,10
Forró na Manha,eletrônico,10
Forró do Eskulaxo,eletrônico,10
Gatinha Manhosa,romântico ,10
Niedson Lua,romântico ,10
Niedson Lua,pé-de-serra,7
Geraldinho Lins,pé-de-serra,10
Forró Zueira,eletrônico,10
Coco Seco,eletrônico,10
Bibliu de Campina,pé-de-serra,10
Bibliu de Campina,repente,7
Cabruêra,Maracatu,7
Cabruêra,Rock,7
Tribo Cordel,forro universtiário,10
Forrozão das Antigas,das antigas,10
Forrozão das Antigas,romântico ,7
AlexandreTan,mpb,10
Antônio Barros e Cecéu,pé-de-serra,10
Banda Magia,das antigas,7
Mara Pavanelly,forronejo ,7
Mara Pavanelly,forró eletrônico ,9
Mara Pavanelly,romântico ,7
Os Gonzagas,pé-de-serra,10
Os Gonzagas,xoté,9
Impacto X,das antigas,7
Impacto X,eletrônico,7
Sandra Belê,pé-de-serra,10
Raiane Stthefanny,forró eletrônico ,10
Solteirões do Forró,forró eletrônico ,10
Solteirões do Forró,forronejo ,5
Forró Sacaneado,forró eletrônico ,10
