banda,tag,value
Biliu de Campina,pé-de-serra,10
Jairo Madruga,pé-de-serra,10
Jorge de Altinho,pé-de-serra,10
Os Três do Nordeste,pé-de-serra,10
Luan e Forró Estilizado,pé-de-serra,4
Luan e Forró Estilizado,eletrônico,10
Luan e Forró Estilizado,forronejo,4
Ton Oliveira,pé-de-serra,10
Flávio José,pé-de-serra,10
Forró da Curtição,eletrônico,10
Forró da Curtição,forronejo,5
Forró Instigação,eletrônico,10
Eloisa Olinto,mpb,10
Forró da Galera,eletrônico,10
Forrozão Karkará,eletrônico,10
Ramon Schinayder,eletrônico,10
Ramon Schinayder,forronejo,8
Os 3 do nordeste,pé-de-serra,10
Coronel Grilo,pé-de-serra,10
João Marcelo e Juliano,sertanejo,10
Magníficos,das antigas,10
Magníficos,romântico,6
Dorgival Dantas,romântico,10
Bonde do Brasil,brega,10
Bonde do Brasil,arrocha,8
Forró do Imperador,forro eletrônico,10
Forró do Imperador,forronejo,6
Aviões do Forró,forro eletrônico,10
Aviões do Forró,forronejo,6
Gabriel Diniz,forro eletrônico,10
Gabriel Diniz,forronejo,8
Felipe Lemos,forro eletrônico,10
Felipe Lemos,forronejo,6
Banda Encantus,das antigas,10
Banda Encantus,romântico,8
Poeta Francinaldo,pé-de-serra,10
Banda Palov,das antigas,10
Assisão,pé-de-serra,10
Janine e Banda,pé-de-serra,10
Galã do Brega,forro eletrônico,10
Galã do Brega,forronejo,8
Forró Bakana,forro eletrônico,10
Forró do Bom,romântico,7
Forró do Bom,bonde do brasil,10
Forró do Bom,forro eletrônico,8
Raniere Gomes,pé-de-serra,7
Afrodite,das antigas,10
Afrodite,romântico,7
