data,banda,tag,value
05/06/15,Biliu de Campina,pé-de-serra,10
05/06/15,Jairo Madruga,pé-de-serra,10
05/06/15,Jorge de Altinho,pé-de-serra,10
05/06/15,Luan e Forró Estilizado,pé-de-serra,4
05/06/15,Luan e Forró Estilizado,forronejo,4
05/06/15,Luan e Forró Estilizado,eletrônico,10
05/06/15,Os Três do Nordeste,pé-de-serra,10
06/06/15,Erika Marques,NA,NA
06/06/15,Flávio José,pé-de-serra,10
06/06/15,Forró da Curtição,forronejo,5
06/06/15,Forró da Curtição,eletrônico,10
06/06/15,Ton Oliveira,pé-de-serra,10
07/06/15,Banda Palov,das antigas,10
07/06/15,CulédeXá,NA,NA
07/06/15,Felipe Lemos,forronejo,6
07/06/15,Felipe Lemos,forro eletrônico,10
07/06/15,Gabriel Diniz,forronejo,8
07/06/15,Gabriel Diniz,forro eletrônico,10
09/06/15,Eloisa Olinto,mpb,10
09/06/15,Janine e Banda,pé-de-serra,10
09/06/15,Sandra Belê,NA,NA
10/06/15,Forrozão Karkará,eletrônico,10
10/06/15,Galã do Brega,forronejo,8
10/06/15,Galã do Brega,forro eletrônico,10
10/06/15,Ramon Schinayder,forronejo,8
10/06/15,Ramon Schinayder,eletrônico,10
11/06/15,Assisão,pé-de-serra,10
11/06/15,Banda Encantus,romântico,8
11/06/15,Banda Encantus,das antigas,10
11/06/15,Jurandir da Feira,NA,NA
12/06/15,AlexandreTan-Forró dos Namorados,NA,NA
12/06/15,Forró do Bom,romântico,7
12/06/15,Forró do Bom,forro eletrônico,8
12/06/15,Forró do Bom,bonde do brasil,10
12/06/15,Geovane Júnior,NA,NA
12/06/15,Os Nonatos,NA,NA
13/06/15,Capilé,NA,NA
13/06/15,Coronel Grilo,pé-de-serra,10
13/06/15,Forró Bakana,forro eletrônico,10
13/06/15,João Marcelo e Juliano,sertanejo,10
13/06/15,Os 3 do nordeste,pé-de-serra,10
14/06/15,Diogo Cirne,NA,NA
14/06/15,Dorgival Dantas,romântico,10
14/06/15,Edgley Miguel,NA,NA
14/06/15,Magníficos,romântico,6
14/06/15,Magníficos,das antigas,10
16/06/15,Coco Seco,NA,NA
16/06/15,Forró Instigação,eletrônico,10
16/06/15,Impacto X,NA,NA
17/06/15,Afrodite,romântico,7
17/06/15,Afrodite,das antigas,10
17/06/15,Aviões do Forró,forronejo,6
17/06/15,Aviões do Forró,forro eletrônico,10
17/06/15,Fabiano Guimarães,NA,NA
17/06/15,Forró da Galera,eletrônico,10
18/06/15,Bonde do Brasil,arrocha,8
18/06/15,Bonde do Brasil,brega,10
18/06/15,Cicinho Lima,NA,NA
18/06/15,Dannys Paraíba,NA,NA
18/06/15,Raniere Gomes,pé-de-serra,7
19/06/15,Amazan,NA,NA
19/06/15,Forró do Imperador,forronejo,6
19/06/15,Forró do Imperador,forro eletrônico,10
19/06/15,Nando Cordel,NA,NA
19/06/15,Poeta Francinaldo,pé-de-serra,10
20/06/15,Alceu Valença,NA,NA
20/06/15,Eliane,NA,NA
20/06/15,Genival Lacerda,NA,NA
20/06/15,Pinto do Acordeon,NA,NA
20/06/15,Saia Justa,NA,NA
21/06/15,Forró da Barka,NA,NA
21/06/15,Joverlaine e Mania de Sertanejo,NA,NA
21/06/15,Maciel Melo,NA,NA
21/06/15,Novinho da Paraíba,NA,NA
22/06/15,Beto Brito,NA,NA
22/06/15,Luisinho Cartaxo,NA,NA
22/06/15,Orquestra Sanfônica Balaio Nordeste,NA,NA
22/06/15,Tribo Cordel,NA,NA
23/06/15,Antônio Barros e Cecéu,NA,NA
23/06/15,Capilé,NA,NA
23/06/15,Elba Ramalho,NA,NA
23/06/15,Tony Dumond,NA,NA
24/06/15,Bibliu de Campina,NA,NA
24/06/15,Chico Sales,NA,NA
24/06/15,Mara Pavanelly,NA,NA
24/06/15,Zé Ramalho,NA,NA
25/06/15,Banda Magia,NA,NA
25/06/15,Netinho Lima,NA,NA
25/06/15,Os Gonzagas,NA,NA
25/06/15,Zé Calixto,NA,NA
26/06/15,Edmar Miguel,NA,NA
26/06/15,Esporada Ouro,NA,NA
26/06/15,Lucy Alves,NA,NA
26/06/15,Marcos Freire e Banda,NA,NA
27/06/15,Cavalo de Pau,NA,NA
27/06/15,Cezinha,NA,NA
27/06/15,João Lima,NA,NA
27/06/15,Renata Arruda,NA,NA
27/06/15,Shilton Fernandes,NA,NA
28/06/15,Forró Sacaneado,NA,NA
28/06/15,Niedson Lua,NA,NA
28/06/15,Solteirões do Forró,NA,NA
29/06/15,Forró Quente,NA,NA
